dataset,split,model,Class,Images,Instances,Box-P,Box-R,Box-F1,mAP50,mAP50-95,Mask-P,Mask-R,Mask-F1,t
synth_new,train,ft33_SGD_finloop.pt,pv,789,789,0.874,0.779,0.824,0.859,0.484,0.87,0.776,0.82,5.347379446029663
synth_new,val,finloop,solar-panel,225,225,0.046,0.053,0.05,0.011,0.002,0.0,0.0,0.0,19.441426515579224
synth_new,val,ft21SGD,pv,225,225,1.0,1.0,1.0,0.995,0.919,1.0,1.0,1.0,3.767390251159668
synth_new,val,ft29_AdamW,pv,225,225,1.0,1.0,1.0,0.995,0.927,1.0,1.0,1.0,3.8436241149902344
synth_new,val,ft29_SGD_finloop.pt,pv,225,225,0.912,0.809,0.857,0.894,0.507,0.931,0.782,0.85,3.136425256729126
synth_new,val,ft30_SGD_finloop.pt,pv,225,225,0.883,0.684,0.771,0.814,0.422,0.877,0.68,0.766,2.964871644973755
synth_new,val,ft32_SGD_finloop.pt,pv,225,225,0.84,0.721,0.776,0.81,0.426,0.829,0.711,0.766,2.9661974906921387
synth_new,val,ft27_AdamW,pv,225,225,1.0,1.0,1.0,0.995,0.927,1.0,1.0,1.0,3.7615346908569336
synth_new,val,ft33_SGD_finloop.pt,pv,225,225,0.841,0.649,0.732,0.787,0.402,0.839,0.644,0.729,3.1976027488708496
synth_new,test,finloop,solar-panel,114,114,0.2,0.035,0.06,0.037,0.004,0.0,0.0,0.0,11.115712881088257
synth_new,test,ft21SGD,pv,114,114,0.999,0.991,0.995,0.995,0.731,0.999,0.991,0.995,2.68752384185791
synth_new,test,ft29_AdamW,pv,114,114,1.0,0.982,0.991,0.995,0.794,1.0,0.982,0.991,2.636834144592285
synth_new,test,ft29_SGD_finloop.pt,pv,114,114,0.898,0.833,0.865,0.927,0.514,0.898,0.833,0.865,2.1104631423950195
synth_new,test,ft30_SGD_finloop.pt,pv,114,114,0.788,0.85,0.818,0.867,0.472,0.81,0.823,0.816,2.27347731590271
synth_new,test,ft32_SGD_finloop.pt,pv,114,114,0.882,0.79,0.833,0.897,0.506,0.844,0.772,0.806,2.1367835998535156
synth_new,test,ft27_AdamW,pv,114,114,1.0,0.99,0.995,0.995,0.842,1.0,0.99,0.995,2.6277847290039062
synth_new,test,ft33_SGD_finloop.pt,pv,114,114,0.802,0.82,0.811,0.859,0.483,0.802,0.817,0.81,2.118472099304199
